"ReasonForAttending","Socialize","Tailgate","TakeSelfies","PostToSocialMedia","SeeFriends","VisitKidAttractions","MeetMascot","SnacksForKids","KidsRunBases","KidsSlide","GetDinner","EatParkFood","SampleFood","GetDrinks","DrinkBeer","BuyGear","TourThePark","VisitAttractions","WatchPregameShow","SeeTheChicken","UpgradeSeats","GetAutographs","WatchGame","SeePractice","MeetPlayers"
"Support the Team",0,0,9,4,2,0,8,2,1,1,2,2,4,0,2,5,8,7,8,8,1,3,0,7,2
"Support the Team",1,2,0,4,2,2,0,10,0,2,4,0,3,4,5,2,5,10,6,8,8,1,2,6,6
"Family outing, no children",1,4,1,4,1,8,1,2,2,6,4,5,0,2,6,5,7,2,3,10,10,9,3,5,3
"Support the Team",1,1,0,1,1,2,8,5,2,2,3,1,0,0,2,8,4,8,5,7,4,9,7,6,5
"Company outing",4,2,1,8,4,2,2,7,2,10,2,4,8,8,4,9,9,0,6,0,8,4,0,7,1
"See a concert",1,2,1,4,0,3,0,7,2,2,1,0,3,7,4,9,5,4,5,2,3,4,3,2,8
"Other Promotion",0,4,3,3,1,2,3,7,0,2,2,8,8,4,4,9,7,8,10,9,4,8,9,3,6
"See a concert",1,0,5,4,3,2,0,3,2,1,2,4,2,1,2,5,1,3,3,0,1,5,0,5,10
"Visit the park",7,3,0,4,1,1,1,1,5,8,6,4,4,4,0,6,3,1,7,8,7,8,9,9,5
"No distinct reason",0,3,4,2,6,8,5,2,0,0,8,4,4,0,2,0,7,2,5,10,9,2,8,3,3
"Visit the park",4,4,2,0,1,1,5,2,3,3,4,1,2,3,4,3,10,3,7,1,1,2,8,6,6
"See a concert",2,8,10,0,1,0,1,3,0,4,2,4,2,2,5,7,2,7,4,5,1,9,9,8,9
"See a concert",0,4,4,1,0,3,0,2,2,3,0,8,4,0,0,8,1,4,9,9,6,2,9,9,4
"Support the Team",2,2,1,2,3,1,2,2,9,2,2,4,2,2,2,9,7,9,5,9,3,9,2,3,2
"Other Promotion",2,2,0,3,1,7,2,8,2,2,0,4,0,3,4,6,2,2,9,9,4,1,1,1,4
"No distinct reason",1,3,2,4,1,1,1,1,3,3,2,5,2,0,2,2,8,8,9,4,7,7,3,6,8
"Other Promotion",2,2,0,3,4,2,1,2,2,2,1,3,4,2,2,5,1,0,3,10,5,9,6,10,1
"Other Promotion",4,2,0,0,2,2,1,2,4,2,4,2,1,2,2,7,0,4,4,2,6,1,8,9,9
"See my friends",3,3,4,6,3,0,7,4,2,2,5,2,9,3,0,4,1,3,1,6,5,5,8,2,4
"Company outing",2,3,0,3,1,1,1,2,2,1,8,4,2,2,0,10,9,4,10,2,9,1,0,7,5
"Celebrate an anniversary",9,4,1,0,1,2,3,9,4,8,2,3,1,2,5,4,7,6,4,8,6,9,2,6,3
"Company outing",0,2,0,8,4,2,5,6,2,5,4,5,4,2,0,8,9,3,7,5,8,9,8,3,0
"Other Promotion",1,2,3,2,1,1,0,2,3,3,4,1,1,1,4,0,5,4,3,6,5,7,10,4,8
"No distinct reason",3,0,1,3,2,1,2,4,2,0,3,1,3,4,4,9,10,6,6,8,0,3,1,6,5
"Special Game",1,1,3,2,1,2,6,4,2,3,0,4,2,4,2,8,9,7,6,4,10,5,10,6,5
"I was given tickets",2,3,8,0,9,2,3,9,0,3,4,2,8,2,3,3,0,6,10,6,2,7,10,3,9
"No distinct reason",6,0,2,3,5,7,6,2,1,1,1,4,4,2,4,9,10,4,5,0,6,7,1,9,5
"Special Game",3,2,3,3,0,1,1,2,2,3,0,4,9,1,4,7,6,1,9,10,5,6,8,8,5
"See my friends",0,2,1,3,2,1,8,1,3,7,2,1,1,10,0,2,5,1,4,7,9,9,3,6,3
"Other Promotion",4,4,0,2,4,1,3,5,1,6,5,5,4,3,2,10,0,5,6,3,1,10,4,2,8
"Support the Team",0,0,10,2,2,2,2,9,3,1,2,1,0,4,1,7,2,7,10,1,8,7,8,1,3
"See my friends",4,1,8,1,3,2,1,2,8,10,0,3,2,4,2,7,9,6,7,6,2,10,3,8,6
"Support the opposing team",5,0,2,0,1,0,2,1,0,0,3,2,2,3,3,3,10,10,1,4,10,3,3,9,4
"Other Promotion",1,2,1,10,0,2,6,4,1,2,0,7,4,3,4,4,7,8,2,6,9,4,2,2,3
"Celebrate an anniversary",1,1,0,2,3,4,1,10,0,1,2,4,2,4,8,7,9,3,1,7,4,7,6,8,6
"No distinct reason",0,2,4,1,1,1,1,0,7,2,10,2,3,4,3,0,2,8,8,9,2,1,4,9,1
"Special Game",4,0,1,2,1,9,0,4,0,4,9,4,4,0,4,0,4,8,6,7,7,3,9,3,2
"Family outing, no children",1,1,2,8,1,1,9,5,2,2,8,1,2,0,5,7,5,9,8,2,3,5,3,1,9
"See my friends",2,2,3,4,1,1,9,3,1,6,4,4,3,0,0,8,2,8,6,3,0,9,4,3,10
"Celebrate a birthday",2,0,2,2,4,0,1,2,3,1,10,1,4,2,0,6,3,7,3,0,10,4,1,9,1
"Family outing, no children",4,1,2,4,3,2,1,0,3,1,0,0,4,0,1,6,10,9,5,6,7,7,4,1,7
"Family outing, with children",1,2,2,2,1,0,4,0,2,8,4,0,0,4,5,5,6,0,6,3,10,7,2,4,7
"Family outing, no children",0,4,2,7,0,8,2,1,4,3,4,1,0,5,7,3,4,0,9,0,8,2,5,2,6
"Celebrate an anniversary",7,0,2,3,3,1,3,6,9,2,5,0,0,0,2,9,2,6,7,6,6,9,9,4,5
"I was given tickets",7,3,0,4,1,2,0,0,7,2,2,4,1,0,0,0,2,8,0,7,5,3,4,5,6
"I was given tickets",1,0,3,3,0,0,0,4,2,7,1,3,0,4,2,10,0,9,4,3,8,7,6,6,4
"Company outing",2,2,2,6,1,1,6,9,2,1,1,2,2,2,3,2,6,8,9,3,8,5,7,1,4
"See a concert",1,2,1,1,3,1,2,1,1,3,6,8,4,3,0,4,8,1,5,3,0,3,2,9,9
"Company outing",10,1,3,0,9,2,1,5,2,2,4,5,1,1,4,9,2,9,6,6,8,2,7,4,5
"Visit the park",4,1,0,3,4,8,10,2,2,2,3,3,10,4,2,4,2,0,1,6,2,3,8,9,9
"I was given tickets",1,4,4,1,3,1,7,4,3,4,4,2,4,1,0,6,2,4,2,8,8,6,4,3,5
"I was given tickets",2,4,0,2,0,0,2,2,2,1,1,3,2,4,2,3,9,4,1,1,4,9,5,2,1
"Special Game",1,1,0,3,2,4,0,7,10,1,2,8,3,0,0,5,8,5,1,0,9,10,9,2,9
"I was given tickets",4,1,2,2,2,6,0,0,1,7,5,3,4,4,2,8,5,9,0,2,8,4,4,6,1
"No distinct reason",1,0,2,4,8,7,0,2,1,2,6,3,2,4,1,2,9,3,10,1,6,2,1,7,9
"See my friends",2,2,4,1,2,3,7,2,2,3,0,3,0,2,0,7,7,3,5,3,4,8,3,8,9
"Celebrate an anniversary",2,0,3,10,8,3,1,2,5,3,0,4,1,2,5,4,9,9,4,10,8,4,4,4,9
"Celebrate an anniversary",8,2,1,2,3,2,5,7,3,2,4,2,4,0,6,1,3,5,5,6,3,5,5,1,1
"Other Promotion",6,2,3,4,3,6,1,2,1,6,4,2,9,3,4,5,5,3,4,1,8,3,6,2,6
"I was given tickets",2,0,3,2,2,2,9,0,1,9,4,2,2,6,5,1,8,10,5,5,7,2,3,5,7
"I was given tickets",3,2,3,9,4,8,3,7,9,2,0,7,3,3,4,6,0,3,5,10,2,4,6,8,8
"See a concert",4,3,1,2,1,8,7,0,2,2,3,3,4,4,5,3,7,5,8,4,2,9,2,8,2
"No distinct reason",2,1,4,3,0,1,6,2,2,1,4,1,3,2,3,8,2,10,5,8,3,8,2,0,3
"Family outing, with children",3,1,4,4,1,3,1,2,1,5,3,7,1,4,2,5,5,4,0,3,4,9,2,0,3
"Family outing, with children",4,2,2,1,6,2,6,0,3,3,0,2,1,9,1,7,5,3,10,9,2,5,8,9,3
"Celebrate an anniversary",4,4,0,3,3,1,0,1,1,5,4,4,7,5,2,4,5,6,3,5,6,2,9,8,8
"Visit the park",4,3,4,3,2,2,2,0,2,3,2,1,4,4,1,6,3,7,3,8,4,0,6,6,3
"See my friends",1,3,1,7,3,2,7,3,3,0,4,4,5,3,2,0,1,2,4,8,1,1,8,5,9
"Family outing, no children",1,3,0,4,2,5,2,2,2,4,2,4,4,1,4,2,10,5,6,1,7,2,2,3,5
"Support the Team",1,1,0,0,5,10,0,2,1,2,0,4,3,2,4,7,0,5,5,3,0,5,10,6,7
"Family outing, no children",3,3,6,2,3,0,4,2,0,1,1,5,1,2,4,1,1,3,3,8,5,8,1,2,6
"No distinct reason",9,4,4,4,3,2,3,8,2,1,9,1,3,3,4,9,1,4,3,9,6,6,5,2,3
"No distinct reason",3,2,2,0,2,6,4,1,2,2,3,2,0,4,1,9,8,4,5,8,0,2,1,1,6
"Celebrate a birthday",3,1,7,2,3,1,2,0,3,2,3,4,0,6,3,4,1,1,4,9,8,1,8,6,4
"Other Promotion",2,2,1,1,3,0,3,1,9,0,5,0,0,2,3,8,4,2,2,8,5,9,3,8,2
"Celebrate a birthday",3,3,0,2,0,4,2,2,7,1,4,0,1,0,2,4,1,9,10,9,4,1,10,6,1
"Celebrate a birthday",0,3,4,3,7,2,0,2,9,2,4,1,2,3,4,6,1,7,9,8,2,5,6,4,8
"See a concert",2,0,2,3,0,6,3,2,2,3,1,2,0,4,1,5,1,9,9,0,9,3,6,6,3
"Other Promotion",2,3,1,0,2,3,0,6,0,2,4,0,1,4,2,3,8,5,0,4,5,7,1,2,9
"Special Game",3,0,4,1,8,2,0,7,1,2,4,5,1,0,4,7,3,8,5,8,4,4,0,5,4
"No distinct reason",4,1,3,7,1,3,1,3,2,1,3,6,4,2,2,3,2,8,0,4,7,4,10,1,2
"See a concert",2,1,2,4,2,4,4,0,1,3,6,3,4,2,5,7,0,2,5,2,2,4,10,3,6
"Other Promotion",0,0,4,8,9,2,0,2,6,3,4,2,2,2,2,4,1,2,6,4,8,2,6,10,2
"Visit the park",3,1,3,6,3,9,3,1,0,3,4,4,4,1,4,2,10,1,8,1,5,6,5,2,9
"See a concert",2,0,2,2,2,2,1,1,2,2,9,4,0,2,4,3,5,6,5,6,7,4,2,9,0
"Support the Team",3,2,0,0,3,0,2,2,0,0,4,4,2,2,4,3,4,9,8,6,1,3,5,8,3
"No distinct reason",0,1,3,4,2,8,1,4,2,1,0,4,2,10,7,4,2,6,9,7,7,3,4,9,2
"Special Game",3,4,0,4,1,7,1,3,3,0,4,8,1,4,4,1,6,2,10,1,5,8,4,6,9
"Family outing, with children",1,1,4,2,2,7,2,2,9,8,1,9,3,5,3,9,9,7,9,3,0,0,6,2,2
"Celebrate a birthday",3,2,4,7,7,0,3,1,2,2,4,3,3,2,4,5,10,7,6,10,2,8,10,9,2
"Company outing",1,1,4,8,3,1,5,1,2,1,3,4,9,4,4,4,2,5,4,6,5,3,7,0,4
"See a concert",7,2,0,4,2,1,3,0,2,1,4,4,7,3,0,5,6,5,3,1,9,2,10,7,4
"See my friends",4,4,2,4,5,2,1,3,7,0,4,2,2,1,2,9,1,4,9,0,5,7,7,4,9
"Special Game",1,4,3,3,2,2,0,2,1,3,2,2,2,4,3,1,6,5,6,3,8,2,9,10,9
"Company outing",0,4,2,6,7,2,3,9,6,2,2,4,3,0,2,7,1,7,9,9,4,2,3,8,9
"Celebrate a birthday",5,2,6,2,2,5,1,6,0,3,2,7,4,6,7,1,3,3,0,1,2,5,5,1,7
"Other Promotion",1,1,4,3,7,1,2,1,3,2,3,0,8,1,4,6,7,1,4,8,4,6,1,2,8
"Family outing, no children",2,4,5,4,1,9,4,3,9,2,4,2,2,2,0,9,4,8,8,8,3,9,9,7,0
"Special Game",3,3,3,0,2,2,6,1,3,7,2,3,4,10,2,8,2,6,7,1,6,5,5,4,7
"Other Promotion",1,2,0,1,2,3,1,1,5,1,4,5,4,3,0,5,4,8,3,4,3,4,5,3,7
"I was given tickets",3,5,2,2,1,1,0,3,4,8,4,2,0,5,9,10,2,4,6,9,1,1,0,5,3
"I was given tickets",2,3,2,4,9,1,1,3,2,2,4,0,8,4,5,7,10,3,8,1,4,6,1,5,10
"Family outing, with children",1,1,1,2,2,6,1,1,10,0,5,1,1,2,2,6,3,9,4,1,9,6,5,7,10
"Visit the park",10,3,2,1,0,2,7,0,3,4,2,2,2,0,2,6,7,1,5,3,9,4,4,6,7
"I was given tickets",3,2,2,2,2,2,0,2,2,5,6,2,4,1,1,7,5,5,10,6,7,1,7,7,5
"Support the opposing team",2,0,4,4,0,1,5,2,1,4,2,4,1,2,2,6,0,1,1,1,6,1,8,5,3
"Other Promotion",2,3,1,2,2,0,3,2,3,0,4,2,4,4,4,9,10,8,6,9,2,3,1,0,2
"See my friends",3,2,2,4,4,2,10,3,7,0,5,4,4,2,4,2,5,2,5,1,0,4,8,1,0
"Celebrate an anniversary",4,2,2,0,3,4,2,5,1,9,2,5,4,10,8,4,3,5,9,5,2,9,9,6,6
"Family outing, no children",1,3,1,7,0,1,1,0,1,2,9,2,3,2,2,3,3,2,6,1,9,8,6,1,3
"Visit the park",2,1,2,3,4,10,3,4,2,4,0,3,9,5,2,8,1,5,5,2,10,9,8,9,9
"Celebrate an anniversary",2,0,1,3,2,2,9,3,2,7,8,0,4,2,1,8,4,1,3,9,4,7,5,2,6
"Family outing, with children",0,9,1,4,4,6,0,3,2,2,0,4,4,4,5,9,0,8,3,8,1,2,4,7,4
"I was given tickets",0,2,1,3,1,5,1,0,2,2,4,2,4,0,1,6,5,1,9,1,10,9,3,4,10
"See a concert",3,3,7,2,4,3,2,6,3,2,6,2,4,5,4,0,6,9,2,9,10,9,4,5,3
"Celebrate an anniversary",3,1,9,1,1,2,2,1,0,1,4,0,1,2,10,6,6,3,7,5,0,6,0,8,10
"Support the Team",3,2,4,1,2,4,6,1,0,2,4,5,0,4,2,10,6,6,3,3,1,0,9,6,8
"Other Promotion",2,3,0,0,4,1,1,1,5,1,5,0,4,4,4,2,7,8,5,6,6,7,5,6,1
"Special Game",1,5,1,4,2,2,8,2,8,1,2,2,0,2,0,10,1,9,6,6,4,0,9,9,10
"Other Promotion",0,4,1,3,2,3,2,3,1,7,4,7,3,3,1,2,6,10,3,6,9,9,1,7,5
"See my friends",0,0,2,2,4,2,0,2,3,2,5,4,4,5,0,9,7,7,2,3,7,8,8,3,8
"See a concert",4,2,4,2,2,2,7,4,1,2,3,2,2,2,3,8,7,10,7,8,2,1,4,9,2
"Family outing, no children",2,2,4,3,2,0,5,1,3,0,4,1,0,2,4,6,2,9,9,4,6,4,0,3,8
"Celebrate an anniversary",0,7,1,1,2,7,1,2,2,2,2,7,1,1,4,2,5,1,9,8,10,2,7,7,4
"Celebrate an anniversary",2,2,4,4,1,2,1,1,2,2,5,8,2,4,9,8,3,1,6,0,7,5,5,6,5
"Celebrate a birthday",10,5,2,3,2,0,1,1,2,2,0,3,1,4,0,9,4,2,5,7,9,9,0,7,10
"Support the Team",2,3,1,8,0,2,10,1,5,4,4,4,2,2,1,2,2,4,5,4,3,7,1,3,3
"See my friends",2,4,5,0,4,2,1,1,9,1,5,4,2,3,2,8,4,10,2,2,7,10,10,4,0
"Visit the park",4,0,2,3,1,1,0,2,2,8,0,5,5,1,5,2,2,10,8,3,10,4,3,3,2
"Other Promotion",5,3,0,1,3,3,5,9,1,3,4,3,1,0,5,0,3,10,3,8,4,8,0,5,1
"Support the opposing team",3,3,2,0,3,1,6,0,1,3,4,2,1,2,2,2,4,4,7,4,7,0,6,7,8
"Family outing, no children",7,1,4,3,2,0,8,5,2,3,4,1,4,2,4,4,9,6,5,6,5,2,5,10,10
"No distinct reason",9,0,4,1,7,1,8,1,0,3,4,5,3,4,0,3,9,9,4,9,3,4,9,7,0
"Family outing, no children",2,4,4,2,3,2,8,2,1,1,2,0,4,6,6,1,6,2,9,4,5,3,2,4,8
"Celebrate a birthday",1,3,1,1,0,6,9,2,3,2,4,0,1,4,6,5,3,5,8,1,9,3,9,6,2
"Support the opposing team",2,2,4,7,6,3,0,8,2,2,5,1,2,0,0,9,2,0,6,2,10,10,3,3,7
"See a concert",4,8,8,4,2,1,2,2,0,5,4,2,0,3,4,8,1,3,1,4,4,5,6,9,5
"Company outing",4,4,4,2,2,0,2,2,1,1,0,2,5,4,2,9,7,8,5,8,7,7,8,4,6
"No distinct reason",3,2,4,2,3,4,0,1,2,1,3,4,2,1,0,6,7,3,7,8,2,9,7,4,3
"See my friends",0,0,5,9,2,0,3,1,4,3,4,1,2,10,4,6,2,1,9,9,7,0,8,6,4
"No distinct reason",1,2,1,1,2,7,6,1,1,2,2,0,3,8,3,0,4,3,4,9,6,2,3,3,3
"Family outing, no children",2,7,4,2,1,9,1,1,2,1,8,4,4,5,0,8,2,9,1,2,7,8,1,7,4
"Family outing, with children",4,5,0,2,1,2,2,2,2,10,2,10,2,0,0,4,5,9,1,1,2,6,5,7,5
"See my friends",0,2,3,1,0,2,2,3,2,0,2,2,4,5,6,8,1,2,10,3,0,3,3,9,2
"Celebrate an anniversary",3,0,2,2,1,2,2,4,2,1,4,0,1,4,3,9,9,5,10,9,7,6,10,1,5
"Family outing, no children",3,1,3,4,3,0,2,2,1,2,3,0,4,4,1,5,9,8,6,3,10,8,4,10,7
"No distinct reason",0,2,4,4,5,0,2,9,5,9,2,1,0,3,4,9,5,8,2,7,3,9,1,0,5
"See a concert",1,2,4,4,3,2,1,8,2,2,3,4,3,5,4,2,4,9,1,0,4,9,2,9,0
"Other Promotion",1,3,3,2,7,1,9,2,7,2,5,8,4,4,1,10,6,0,1,7,6,9,5,8,6
"Support the opposing team",10,0,0,0,4,2,2,9,2,7,2,1,4,2,1,9,0,2,3,7,3,0,3,9,8
"I was given tickets",1,2,4,2,2,2,2,2,1,2,2,0,4,2,2,5,1,5,7,1,6,10,6,5,2
"Family outing, with children",3,3,5,0,2,1,1,1,0,6,0,0,2,1,4,4,2,9,4,7,5,3,1,10,1
"Company outing",1,0,1,0,1,6,2,4,2,5,2,0,2,2,0,8,7,9,10,9,2,7,5,3,0
"No distinct reason",2,1,1,4,2,2,3,3,7,0,4,3,4,2,4,0,4,8,2,7,2,1,4,5,1
"Celebrate an anniversary",2,1,3,0,4,0,6,2,1,9,4,4,2,2,3,9,9,2,8,2,0,2,0,2,6
"Family outing, no children",2,5,2,3,2,3,1,1,5,2,1,4,5,2,2,9,9,10,8,0,10,3,1,6,4
"Celebrate a birthday",2,9,8,2,0,0,7,0,2,1,3,0,2,2,4,1,5,1,9,1,4,2,7,9,2
"Visit the park",2,10,0,4,2,1,2,2,1,3,2,2,2,5,3,9,6,8,7,5,0,6,9,8,2
"Support the Team",1,4,4,2,0,4,9,2,2,0,2,0,7,3,4,9,1,1,0,1,4,2,9,8,4
"Celebrate a birthday",4,3,2,1,1,7,9,1,1,1,4,0,4,7,3,3,8,0,0,4,4,6,3,6,8
"See my friends",7,0,0,3,5,4,2,1,0,9,4,4,4,2,3,7,5,8,0,5,4,3,1,9,7
"Visit the park",2,7,7,2,0,1,2,2,2,0,0,1,2,4,4,1,9,3,3,6,1,9,3,8,10
"Visit the park",0,1,4,1,5,2,3,3,4,2,2,1,4,0,5,5,8,7,2,2,5,7,10,3,2
"Celebrate a birthday",3,2,3,2,1,3,3,7,2,6,2,5,2,4,4,7,5,2,9,5,8,10,4,7,2
"No distinct reason",0,3,0,2,9,5,0,7,0,6,5,10,4,4,4,9,1,7,3,9,5,10,9,10,2
"Support the opposing team",3,4,2,0,4,1,1,8,3,9,4,2,2,5,4,3,8,8,2,8,7,5,7,2,0
"Company outing",2,2,2,1,8,1,7,6,6,2,0,5,0,0,0,1,3,8,2,3,4,1,2,9,4
"Celebrate a birthday",2,8,1,1,1,9,9,0,0,3,2,2,10,2,0,2,7,9,6,8,6,2,4,9,5
"Special Game",2,9,4,1,3,2,1,3,6,2,1,7,4,4,3,5,9,3,5,6,1,10,7,7,5
"Support the opposing team",2,1,2,4,1,0,0,7,8,2,9,3,2,4,3,7,2,8,3,8,6,6,1,3,9
"Support the Team",0,2,3,7,2,2,3,2,3,0,2,4,0,2,0,6,8,10,0,7,8,8,1,1,10
"No distinct reason",2,3,5,2,2,3,1,10,1,1,5,4,4,4,0,4,8,3,4,9,3,6,9,2,5
"Family outing, with children",3,3,10,4,2,1,4,1,2,2,0,2,4,6,4,3,7,5,7,6,3,8,4,3,6
"Visit the park",2,0,2,2,7,2,8,2,3,0,4,0,6,0,2,2,2,2,9,8,10,2,3,9,6
"Company outing",2,2,6,2,4,0,2,1,5,7,2,4,1,10,0,8,9,8,9,9,5,7,8,7,8
"Family outing, no children",10,3,2,1,5,1,1,0,2,5,0,0,2,2,6,5,2,5,0,10,4,10,4,2,5
"Family outing, with children",2,1,3,2,4,3,2,0,4,1,2,2,0,6,0,8,4,5,9,6,2,8,7,3,2
"Celebrate an anniversary",5,2,1,2,8,3,2,7,3,2,2,2,2,5,4,7,4,3,1,0,4,5,1,7,6
"Company outing",4,3,0,6,1,2,0,6,9,2,0,5,2,10,2,1,3,6,4,4,4,1,6,10,8
"I was given tickets",9,2,4,3,4,3,1,1,1,0,0,4,8,3,4,1,7,6,7,8,2,3,5,9,3
"Celebrate a birthday",4,3,2,5,3,1,2,1,2,3,0,2,3,1,0,1,4,7,4,3,10,9,2,5,3
"Support the opposing team",1,3,2,1,0,2,1,3,1,1,0,2,1,2,3,1,9,8,5,2,3,5,7,2,6
"Special Game",2,3,3,3,2,1,2,1,1,6,4,4,7,1,1,4,4,3,4,6,4,7,4,8,6
"Support the opposing team",4,1,2,0,2,2,2,6,2,1,0,4,3,4,1,4,1,6,8,1,6,8,1,8,6
"Support the opposing team",3,1,4,4,5,1,10,1,7,1,5,4,4,2,3,1,9,7,4,5,9,4,5,10,4
"Other Promotion",3,7,2,7,3,2,1,0,0,3,2,3,3,4,2,5,2,2,6,1,5,10,5,4,1
"See a concert",3,6,4,9,1,9,9,4,2,2,4,1,0,4,1,2,3,8,6,3,4,4,0,3,7
"No distinct reason",0,1,0,2,3,2,7,0,2,3,4,4,7,2,3,0,8,9,7,7,2,10,1,1,2
"Family outing, with children",4,2,1,10,5,2,1,0,2,2,4,2,3,2,4,6,3,4,9,8,5,6,0,7,5
"Celebrate an anniversary",1,7,4,2,0,8,3,2,3,1,2,1,2,1,0,9,4,4,8,1,10,4,3,5,0
"Support the Team",2,3,2,2,3,1,3,6,3,2,4,2,4,2,2,10,9,8,5,10,8,4,10,8,1
"See my friends",0,5,0,1,3,9,1,1,0,1,4,4,2,0,0,9,9,4,0,6,3,2,3,9,7
"No distinct reason",7,2,2,2,2,2,7,0,2,2,0,1,0,0,0,5,4,7,5,4,7,7,0,4,6
"Company outing",4,1,0,2,0,3,0,2,1,4,4,2,4,2,5,8,6,6,1,3,6,8,7,10,1
"Celebrate an anniversary",2,0,6,2,4,1,2,6,2,3,8,2,4,4,4,7,4,7,5,9,10,7,2,1,8
"Support the Team",1,2,3,4,2,3,1,1,1,2,2,0,4,4,4,5,6,8,3,8,8,5,9,6,5
"Family outing, with children",3,1,1,0,3,2,5,2,2,0,2,4,1,5,9,8,6,8,7,3,5,3,5,5,7
"Celebrate a birthday",3,2,9,1,1,2,2,0,2,3,0,0,2,0,5,9,8,3,6,8,8,9,2,6,7
"Other Promotion",3,4,2,4,1,1,1,1,1,5,0,2,4,4,3,1,9,3,0,6,2,7,1,8,6
"Visit the park",2,1,5,1,3,7,0,2,10,6,1,4,2,1,4,9,9,9,6,5,4,7,7,2,8
"Family outing, no children",6,1,2,0,0,0,3,2,1,2,3,2,4,0,2,6,5,2,1,3,9,7,9,9,1
"Celebrate an anniversary",3,4,1,2,0,2,0,0,1,3,0,4,2,0,2,0,0,2,7,2,2,3,4,9,5
"See my friends",3,2,1,4,2,3,10,2,0,0,0,2,0,4,7,7,2,9,7,0,9,3,8,5,10
"See a concert",1,2,1,0,4,3,3,1,0,3,4,3,1,4,4,9,0,2,9,3,5,2,4,5,1
"Company outing",4,0,3,3,3,0,9,1,1,6,1,3,2,1,5,6,9,9,8,1,4,7,4,2,10
"Celebrate an anniversary",2,0,4,0,3,1,0,8,3,2,1,4,3,2,5,10,1,4,1,6,7,7,9,6,4
"Visit the park",1,2,5,2,4,3,0,2,1,1,1,2,4,0,2,2,4,1,5,5,4,2,5,9,7
"See a concert",2,0,2,2,1,2,1,3,9,3,2,5,4,2,4,4,3,6,6,9,6,7,0,9,9
"Support the opposing team",4,2,3,1,4,3,1,1,3,6,7,8,4,3,2,4,2,3,2,9,8,9,6,8,3
"See a concert",3,3,1,3,1,5,2,9,5,1,4,4,10,4,2,3,0,3,3,9,1,1,4,7,8
"I was given tickets",1,1,10,3,0,0,0,3,3,0,2,0,3,4,9,1,3,9,7,5,9,5,0,7,6
"Other Promotion",3,3,2,8,4,2,1,8,2,2,4,3,2,0,1,1,1,6,2,2,1,10,7,9,8
"Family outing, with children",2,1,1,4,4,1,7,2,3,1,8,2,2,2,0,4,2,1,9,7,9,5,6,3,3
"Celebrate a birthday",6,1,1,2,4,1,1,2,1,9,2,4,3,4,4,1,5,7,3,3,9,7,6,7,0
"Support the Team",0,2,2,3,3,2,1,1,8,2,5,1,1,2,0,4,5,2,1,7,2,2,6,3,1
"Other Promotion",1,1,1,4,2,7,2,1,2,1,4,1,4,2,1,4,6,9,10,7,9,7,10,6,5
"Family outing, with children",7,2,3,0,1,2,3,4,8,7,2,2,2,2,4,9,6,6,8,7,1,9,7,3,1
"Special Game",3,0,4,4,2,10,2,0,2,2,5,0,0,0,2,7,8,3,5,6,3,2,3,8,1
"Support the opposing team",3,3,1,0,6,6,6,0,5,4,0,6,2,0,0,6,7,2,4,5,3,1,1,9,4
"No distinct reason",3,7,3,4,1,1,1,1,1,2,3,1,4,5,5,1,6,0,9,7,1,0,4,1,7
"Company outing",7,4,3,1,2,10,0,4,5,2,3,2,2,2,4,8,3,1,4,4,5,2,4,6,7
"See a concert",3,5,2,2,4,1,5,1,1,1,3,2,2,2,2,3,4,2,10,10,0,5,4,3,1
"Family outing, no children",10,1,2,0,3,0,1,2,5,1,4,4,3,4,0,6,1,5,2,8,2,2,7,7,2
"I was given tickets",3,4,2,2,0,0,2,8,3,1,5,4,4,1,1,7,6,0,0,2,5,4,5,0,1
"Family outing, with children",0,0,3,1,1,6,9,10,2,6,0,4,2,1,1,5,4,9,10,5,6,2,8,10,3
"Visit the park",7,3,3,1,7,7,10,3,1,2,7,1,2,1,1,3,7,5,4,7,7,2,1,8,2
"No distinct reason",4,5,1,3,6,3,10,2,1,1,2,4,0,4,5,2,5,2,10,8,4,5,9,10,2
"Celebrate an anniversary",3,2,1,0,3,4,10,1,8,1,3,3,3,4,2,7,9,5,2,7,2,2,0,6,6
"Family outing, with children",3,3,0,0,1,8,1,2,1,8,5,2,4,6,8,8,1,8,3,0,3,10,9,9,7
"Special Game",5,1,2,0,3,7,9,3,1,4,5,0,1,8,2,8,6,4,6,3,5,2,2,8,4
"Support the opposing team",4,3,0,6,0,1,8,2,2,2,0,0,4,8,7,7,0,6,2,6,6,4,5,3,1
"See a concert",2,2,1,2,4,2,1,1,2,1,6,2,4,4,9,3,2,2,3,5,5,9,5,5,2
"I was given tickets",4,3,2,4,4,6,2,2,2,2,2,6,0,2,0,2,5,4,5,1,10,4,9,0,4
"Celebrate an anniversary",1,2,10,3,0,1,5,0,2,3,6,1,4,4,0,4,1,9,8,6,7,2,5,3,3
"Support the Team",7,1,2,1,2,1,2,1,4,4,2,0,4,4,3,3,6,6,7,5,1,3,3,10,5
"Visit the park",3,4,8,1,4,1,2,0,1,2,3,3,0,2,2,9,0,3,8,6,7,0,8,1,8
"Family outing, with children",1,2,2,1,3,1,1,1,1,5,0,4,2,5,4,0,9,6,3,5,6,8,8,2,8
